EVENT_NO,LAT,LONGT
16AD0528, 36.79410,-119.78142
16AD0544, 36.75825,-119.82168
16AD0565, 36.72140,-119.80520
16AD0580, 36.77931,-119.82656
16AD0734, 36.79412,-119.76329
16AD0731, 36.81588,-119.75417
16AD0746, 36.75037,-119.78828
16AD1078, 36.80839,-119.80846
16AD1490, 36.73121,-119.79393
16AD1495, 36.80839,-119.80846
16AD1514, 36.73193,-119.78797
16AD1524, 36.73193,-119.78797
16AD1526, 36.75025,-119.82430
16AD1614, 36.79121,-119.76334
16AD1612, 36.78864,-119.78827
16AD1598, 36.75028,-119.81985
16AD1623, 36.83730,-119.77223
16AD1630, 36.79046,-119.79053
16AD1633, 36.76496,-119.80406
16AD1664, 36.71413,-119.79979
16AD1684, 36.82293,-119.78911
16AD1682, 36.72494,-119.71629
16AD1693, 36.82292,-119.79035
16AD1703, 36.76471,-119.82571
16AD1708, 36.74366,-119.79878
16AD1712, 36.82292,-119.79035
16AD1711, 36.82292,-119.79035
16AD1729, 36.83730,-119.76318
16AD1732, 36.82292,-119.79035
16AD1770, 36.75771,-119.78152
16AD1772, 36.75480,-119.82877
16AD1782, 36.75769,-119.77853
16AD1790, 36.75769,-119.77853
16AD1799, 36.75043,-119.78488
16AD1808, 36.78112,-119.82654
16AD1836, 36.73155,-119.80344
16AD1852, 36.72529,-119.78739
16AD1862, 36.75045,-119.78351
16AD1865, 36.71599,-119.77778
16AD1870, 36.84115,-119.75666
16AD1881, 36.75042,-119.79889
16AD1894, 36.82293,-119.78839
16AD1902, 36.75025,-119.82323
16AD1907, 36.72866,-119.80580
16AD1910, 36.74866,-119.76078
16AD1921, 36.75220,-119.80631
16AD1957, 36.75951,-119.79053
16AD1997, 36.83697,-119.81733
16AD2144, 36.73662,-119.79133
16AD2218, 36.83694,-119.90157
16AD2724, 36.80095,-119.84438
16AD2828, 36.79038,-119.88936
16AD2886, 36.72755,-119.79904
16AD3044, 36.72309,-119.82669
16AD3103, 36.73943,-119.75630
16AD3165, 36.75295,-119.79886
16AD3169, 36.75766,-119.80284
16AD3169, 36.75766,-119.80284
16AD3182, 36.74362,-119.80033
16AD3189, 36.74685,-119.79195
16AD3214, 36.82286,-119.80834
16AD3224, 36.77963,-119.75437
16AD3284, 36.76480,-119.81766
16AD3291, 36.75042,-119.79054
16AD3349, 36.80839,-119.80846
16AD3369, 36.77186,-119.86228
16AD3626, 36.75746,-119.82912
16AD4306, 36.86671,-119.73881
16AD4316, 36.71456,-119.72744
16AD4316, 36.71456,-119.72744
16AD4534, 36.85589,-119.78732
16AD4575, 36.80048,-119.74975
16AD4576, 36.78473,-119.82647
16AD4576, 36.78473,-119.82647
16AD4576, 36.78473,-119.82647
16AD4618, 36.78683,-119.74530
16AD4636, 36.79325,-119.78919
16AD4649, 36.73970,-119.78198
16AD4660, 36.76045,-119.78153
16AD4698, 36.76500,-119.77252
16AD4701, 36.77955,-119.77257
16AD4751, 36.77951,-119.73630
16AD4756, 36.75747,-119.71827
16AD4887, 36.77329,-119.83551
16AD5052, 36.80735,-119.87172
16AD5159, 36.80816,-119.87749
16AD5319, 36.79391,-119.80857
16AD5383, 36.78631,-119.88216
16AD5527, 36.83190,-119.91802
16AD5527, 36.83190,-119.91802
16AD5652, 36.79371,-119.84429
16AD5666, 36.75042,-119.72276
16AD5699, 36.76852,-119.80861
16AD5711, 36.73039,-119.79958
16AD5756, 36.81219,-119.87303
16AD5766, 36.81215,-119.78136
16AD5767, 36.75038,-119.80288
16AD5784, 36.80132,-119.77686
16AD5855, 36.83722,-119.84744
16AD5854, 36.75772,-119.76125
16AD5921, 36.77195,-119.83409
16AD5906, 36.82305,-119.77226
16AD5972, 36.79362,-119.86695
16AD5942, 36.78141,-119.84439
16AD6002, 36.75752,-119.82087
16AD6008, 36.76044,-119.73635
16AD5982, 36.77228,-119.78155
16AD6035, 36.76489,-119.80860
16AD6043, 36.71419,-119.78853
16AD6054, 36.80831,-119.82190
16AD6073, 36.78664,-119.81530
16AD6087, 36.79412,-119.76329
16AD6094, 36.78688,-119.75432
16AD6097, 36.83730,-119.77223
16AD6098, 36.79410,-119.77231
16AD6119, 36.80174,-119.83985
16AD6139, 36.79572,-119.80855
16AD6198, 36.75304,-119.79052
16AD6200, 36.77046,-119.79055
16AD6553, 36.80819,-119.86262
16AD6653, 36.75747,-119.71827
16AD6731, 36.73593,-119.73635
16AD6765, 36.76514,-119.71827
16AD6953, 36.84027,-119.75607
16AD7025, 36.83030,-119.75417
16AD7033, 36.80857,-119.77231
